Name,Country
Rohit Sharma,India
Shikar Dhawan,India
KL Rahul,India
Shreyas Iyer,India
Virat Kohli,India
MS Dhoni,India
Hardik Pandya,India
Ravindra Jadeja,India
Bhuvneshwar Kumar,India
Jasprit Bumrah,India
Mohammed Shami,India
Navdeep Saini,India
Yuzvendra Chahal,India
Kuldeep Yadav,India
Manish Pandey,India
Shubman Gill,India
Rishabh Pant,India
Prithvi Shaw,India
Ravichandran Ashwin,India
Mayank Agarwall,India
Deepak Chahar,India
Kedhar Jadhav,India
Shradul Thakur,India
Sachin Tendulkar,India
Virendhar Sehwag,India
Yuvraj Singh,India
Praveen Kumar,India
Rahul Dravid,India
Zaheer Khan,India
Robin Uthappa,India
Aaron Finch,Australia
David Warner,Australia
Steve Smith,Australia
Marnus Labuschagne,Australia
Mathew Wade,Australia
Travis Head,Australia
Glenn Maxwell,Australia
Marcus Stoinis,Australia
Adam Zampa,Australia
Nathan Coulternile,Australia
Mitchell Starc,Australia
Pat Cummins,Australia
Josh Hazlewood,Australia
Nathan Lyon,Australia
Alex Carey,Australia
Brett Lee,Australia
Adam Gilchrist,Australia
Mathew Hayden,Australia
Ricky Ponting,Australia
Shaun Marsh,Australia
Peter Handscomb,Australia
Nathan Bracken,Australia
Andrew Symonds,Australia
Glenn Mcgrath,Australia
Shane Warne,Australia
Brad Haddin,Australia
Brad Hogg,Australia
Xavier Doherty,Australia
James Faulkner,Australia
Shane Watson,Australia
Quinton de Kock,South Africa
Hashim Amla,South Africa
Faf du Plesis,South Africa
AB de Villers,South Africa
JP Duminy,South Africa
Rassie vander Dussen,South Africa
Reeza Hendricks,South Africa
Aiden Markram,South Africa
Dale Steyn,South Africa
Chris Morris,South Africa
Imran Tahir,South Africa
Kagiso Rabada,South Africa
Anrich Nortje,South Africa
Temba Bavuma,South Africa
Tarbraiz Shamsi,South Africa
Makhaya Ntini,South Africa
Shaun Pollock,South Africa
Mark Boucher,South Africa
Janneman Malan,South Africa
Wian Mulder,South Africa
David Miller,South Africa
Zubayr Hamza,South Africa
JJ Smuts,South Africa
Andile Phehlukway,South Africa
Dwaine Pretorious,South Africa
Kyle Verreyne,South Africa
Lungi Ngidi,South Africa
Junior Dala,South Africa
Keshav Maharaj,South Africa
George Linde,South Africa
Jason Roy,England
Johnny Bairstow,England
Alex Hales,England
David Malan,England
Eoin Morgan,England
Sam Billings,England
Ben Stokes,England
Jos Butler,England
Chris Woakes,England
Jofra Archer,England
Adil Rashid,England
Mark Wood,England
Joe Root,England
Liam Plunkett,England
Moeen Ali,England
Tom Banton,England
Zak Crawley,England
